"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P63085","ERK2","Mapk1","66","0.287","0.069","4.139","0.0000349","0.00471"
"Q9JLN9","mTOR","Mtor","24","0.382","0.105","3.636","0.000277","0.0187"
"P31938","MEK1","Map2k1","3","0.625","0.182","3.443","0.000576","0.0259"
"P53349","MEKK1","Map3k1","3","0.452","0.138","3.269","0.00108","0.0356"
"Q63844","ERK1","Mapk3","41","0.235","0.074","3.193","0.00141","0.0356"
"P00536","MOS","Mos","1","0.593","0.191","3.096","0.00196","0.0356"
"P11440","CDK1","Cdk1","29","0.289","0.098","2.967","0.00301","0.0356"
"Q07174","Cot","Map3k8","2","0.561","0.189","2.964","0.00303","0.0356"
"P06803","Pim1","Pim1","3","0.204","0.069","2.952","0.00316","0.0356"
"P58750","Pim3","Pim3","3","0.204","0.069","2.952","0.00316","0.0356"
"P68181","PKACB","Prkacb","3","0.204","0.069","2.952","0.00316","0.0356"
"Q62074","PKCI","Prkci","3","0.204","0.069","2.952","0.00316","0.0356"
"P28867","PKCD","Prkcd","18","0.252","0.086","2.925","0.00344","0.0357"
"P70335","ROCK1","Rock1","7","0.415","0.146","2.843","0.00447","0.0431"
"Q9WUA6","Akt3","Akt3","4","0.29","0.106","2.746","0.00604","0.0498"
"Q9WVS8","ERK5","Mapk7","1","0.707","0.258","2.74","0.00614","0.0498"
"Q5U4C9","DYRK2","Dyrk2","6","0.502","0.184","2.733","0.00627","0.0498"
"Q9WUI1","P38B","Mapk11","3","0.314","0.116","2.714","0.00665","0.0499"
"Q9R0T8","IKKE","Ikbke","1","0.31","0.116","2.666","0.00767","0.0531"
"Q99N57","RAF1","Raf1","5","0.304","0.115","2.641","0.00826","0.0531"
"Q8C015","PAK5","Pak7","1","0.223","0.084","2.641","0.00826","0.0531"
"O55222","ILK","Ilk","3","0.411","0.157","2.615","0.00892","0.0548"
"Q8C050","MSK1","Rps6ka5","9","0.244","0.094","2.586","0.00972","0.0558"
"O70126","AurB","Aurkb","5","0.353","0.138","2.569","0.0102","0.0558"
"P20444","PKCA","Prkca","32","0.249","0.098","2.525","0.0116","0.0558"
"O54949","NLK","Nlk","1","0.235","0.094","2.503","0.0123","0.0558"
"Q62406","IRAK1","Irak1","1","0.235","0.094","2.503","0.0123","0.0558"
"Q9WUN2","TBK1","Tbk1","1","0.235","0.094","2.503","0.0123","0.0558"
"P06240","Lck","Lck","1","0.529","0.211","2.501","0.0124","0.0558"
"P35546","Ret","Ret","1","0.529","0.211","2.501","0.0124","0.0558"
"P49138","MAPKAPK2","Mapkapk2","11","0.373","0.152","2.452","0.0142","0.0619"
"P16054","PKCE","Prkce","11","0.279","0.115","2.432","0.0150","0.0634"
"Q9Z2A0","PDK1","Pdpk1","7","0.325","0.141","2.297","0.0216","0.0883"
"O08911","P38G","Mapk12","1","0.468","0.21","2.224","0.0261","0.104"
"Q61831","JNK3","Mapk10","4","0.236","0.107","2.2","0.0278","0.107"
"Q8R3L8","CDK8","Cdk8","3","0.198","0.097","2.047","0.0407","0.151"
"Q3UMW7","MAPKAPK3","Mapkapk3","2","0.519","0.254","2.039","0.0414","0.151"
"Q60700","DLK","Map3k12","2","0.42","0.209","2.003","0.0452","0.159"
"Q60737","CK2A1","Csnk2a1","48","0.222","0.112","1.978","0.0479","0.159"
"P35991","Btk","Btk","1","-0.619","0.313","-1.974","0.0484","0.159"
"Q00342","FLT3","Flt3","1","-0.619","0.313","-1.974","0.0484","0.159"
"Q60823","Akt2","Akt2","11","0.216","0.111","1.941","0.0522","0.160"
"O54784","DAPK3","Dapk3","2","0.277","0.143","1.941","0.0523","0.160"
"Q80YE7","DAPK1","Dapk1","2","0.277","0.143","1.941","0.0523","0.160"
"O88643","PAK1","Pak1","10","0.203","0.106","1.924","0.0543","0.163"
"Q62101","PRKD1","Prkd1","10","0.242","0.129","1.88","0.0602","0.177"
"P70268","PKN1","Pkn1","4","0.238","0.129","1.842","0.0654","0.184"
"Q9WTU6","JNK2","Mapk9","6","0.176","0.095","1.841","0.0656","0.184"
"P47811","P38A","Mapk14","12","0.182","0.11","1.651","0.0988","0.272"
"P11798","CAMK2A","Camk2a","6","0.246","0.15","1.641","0.101","0.272"
"Q02956","PKCZ","Prkcz","6","0.173","0.112","1.543","0.123","0.325"
"Q9QZR5","HIPK2","Hipk2","3","0.249","0.164","1.517","0.129","0.331"
"P31750","Akt1","Akt1","28","0.128","0.085","1.515","0.130","0.331"
"P47810","Wee1","Wee1","1","0.299","0.212","1.408","0.159","0.377"
"P70424","HER2","Erbb2","1","0.299","0.212","1.408","0.159","0.377"
"Q66JT0","WEE1B","Wee2","1","0.299","0.212","1.408","0.159","0.377"
"P00520","Abl","Abl1","1","0.481","0.344","1.398","0.162","0.377"
"P34152","FAK iso2","Ptk2","1","0.481","0.344","1.398","0.162","0.377"
"P18653","p90RSK","Rps6ka1","19","0.139","0.102","1.364","0.173","0.389"
"Q8CIN4","PAK2","Pak2","8","0.187","0.138","1.363","0.173","0.389"
"P67871","CK2B","Csnk2b","2","0.331","0.251","1.32","0.187","0.413"
"Q05512","MARK2","Mark2","1","-1.311","1","-1.311","0.190","0.414"
"P39688","Fyn","Fyn","2","0.471","0.363","1.297","0.195","0.417"
"P47809","MKK4","Map2k4","1","0.46","0.357","1.288","0.198","0.417"
"Q9QZL0","RIPK3","Ripk3","1","0.658","0.52","1.265","0.206","0.428"
"Q9WV60","GSK3B","Gsk3b","9","0.147","0.121","1.214","0.225","0.460"
"Q91Y86","JNK1","Mapk8","9","0.114","0.095","1.195","0.232","0.463"
"Q6PHZ2","CAMK2D","Camk2d","2","0.539","0.452","1.192","0.233","0.463"
"Q8BG48","DRAK2","Stk17b","1","0.6","0.517","1.161","0.246","0.481"
"P18654","RSK2","Rps6ka3","6","0.142","0.125","1.144","0.253","0.487"
"Q9Z188","DYRK1B","Dyrk1b","1","0.175","0.157","1.112","0.266","0.506"
"Q2NL51","GSK3A","Gsk3a","5","0.222","0.206","1.077","0.282","0.528"
"Q62073","TAK1","Map3k7","2","0.547","0.519","1.053","0.292","0.531"
"Q64261","CDK6","Cdk6","4","0.124","0.118","1.052","0.293","0.531"
"Q9R078","AMPKB1","Prkab1","2","-0.342","0.327","-1.047","0.295","0.531"
"P70336","ROCK2","Rock2","2","0.176","0.173","1.017","0.309","0.549"
"Q62120","JAK2","Jak2","4","-0.163","0.166","-0.983","0.326","0.571"
"P49615","CDK5","Cdk5","12","0.13","0.134","0.967","0.334","0.578"
"Q99MK8","GRK2","Adrbk1","3","-0.443","0.479","-0.924","0.356","0.605"
"P15208","INSR","Insr","1","-0.207","0.228","-0.909","0.363","0.605"
"Q64434","Brk","Ptk6","1","-0.207","0.228","-0.909","0.363","0.605"
"P41241","CSK","Csk","2","0.333","0.37","0.9","0.368","0.606"
"P23298","PKCH","Prkch","5","0.101","0.114","0.879","0.379","0.617"
"Q923T9","CAMK2G","Camk2g","2","0.158","0.188","0.843","0.399","0.642"
"P68404","PKCB iso2","Prkcb","12","0.077","0.093","0.828","0.407","0.647"
"Q99KH8","MST3","Stk24","1","0.414","0.517","0.801","0.423","0.664"
"P97477","AurA","Aurka","1","0.379","0.51","0.745","0.456","0.708"
"O55098","LOK","Stk10","1","0.178","0.245","0.727","0.467","0.717"
"P97377","CDK2","Cdk2","19","0.076","0.11","0.694","0.488","0.740"
"O08605","Mnk1","Mknk1","1","0.233","0.349","0.67","0.503","0.746"
"O54992","MAPKAPK5","Mapkapk5","1","0.233","0.349","0.67","0.503","0.746"
"Q9Z0H0","CDC7","Cdc7","4","-0.137","0.217","-0.633","0.527","0.773"
"Q5EG47","AMPKA1","Prkaa1","11","0.085","0.14","0.61","0.542","0.782"
"Q8VBY2","CAMKK1","Camkk1","1","0.157","0.265","0.591","0.555","0.782"
"Q91YS8","CAMK1A","Camk1","1","0.157","0.265","0.591","0.555","0.782"
"Q80UE6","WNK4","Wnk4","2","-0.214","0.364","-0.588","0.556","0.782"
"Q9JKK8","ATR","Atr","1","-0.29","0.514","-0.564","0.573","0.797"
"Q8CFH6","QIK","Sik2","2","0.21","0.393","0.534","0.593","0.818"
"P83741","WNK1","Wnk1","1","-0.184","0.356","-0.518","0.604","0.824"
"P0C605","PKG1 iso2","Prkg1","3","0.111","0.221","0.504","0.614","0.829"
"Q02111","PKCT","Prkcq","2","0.083","0.168","0.496","0.620","0.829"
"Q61083","MEKK2","Map3k2","1","-0.121","0.249","-0.483","0.629","0.832"
"Q01279","EGFR","Egfr","2","0.107","0.23","0.467","0.641","0.840"
"Q03147","CDK7","Cdk7","6","0.078","0.185","0.42","0.674","0.875"
"Q60670","SIK","Sik1","5","0.104","0.282","0.367","0.713","0.917"
"Q91VJ4","NDR1","Stk38","2","0.12","0.372","0.324","0.746","0.917"
"Q9Z1M4","P70S6KB","Rps6kb2","2","0.046","0.145","0.314","0.753","0.917"
"Q9WTK7","LKB1","Stk11","1","-0.108","0.346","-0.313","0.754","0.917"
"Q3UYH7","GRK3","Grk3","1","0.162","0.529","0.307","0.759","0.917"
"P05132","PKACA","Prkaca","65","0.023","0.077","0.303","0.762","0.917"
"Q8BRK8","AMPKA2","Prkaa2","3","0.068","0.231","0.294","0.769","0.917"
"Q8BSK8","p70S6K","Rps6kb1","8","0.035","0.123","0.281","0.779","0.917"
"Q07832","PLK1","Plk1","4","0.061","0.226","0.268","0.789","0.917"
"Q6ZQ29","TAO2","Taok2","2","0.111","0.42","0.265","0.791","0.917"
"P30285","CDK4","Cdk4","2","-0.056","0.219","-0.255","0.799","0.917"
"Q8C0P0","MASTL","Mastl","1","0.136","0.537","0.254","0.800","0.917"
"P08103","Hck","Hck","1","0.05","0.208","0.242","0.809","0.917"
"P52332","JAK1","Jak1","1","0.05","0.208","0.242","0.809","0.917"
"Q8CBF3","EphB1","Ephb1","1","0.05","0.208","0.242","0.809","0.917"
"Q61846","MELK","Melk","1","0.113","0.51","0.222","0.824","0.921"
"P63318","PKCG","Prkcg","6","0.036","0.163","0.22","0.826","0.921"
"Q8BTW9","PAK4","Pak4","3","-0.055","0.271","-0.205","0.838","0.921"
"Q61214","DYRK1A","Dyrk1a","2","-0.065","0.317","-0.203","0.839","0.921"
"Q8BYR2","LATS1","Lats1","1","0.092","0.52","0.178","0.859","0.928"
"Q61036","PAK3","Pak3","3","-0.054","0.305","-0.177","0.859","0.928"
"P05480","Src iso1","Src","5","-0.041","0.272","-0.152","0.879","0.942"
"Q03145","EphA2","Epha2","1","-0.071","0.518","-0.137","0.891","0.942"
"Q9JMK2","CK1E","Csnk1e","1","-0.047","0.346","-0.135","0.893","0.942"
"Q8C078","CAMKK2","Camkk2","2","0.024","0.224","0.108","0.914","0.953"
"Q60680","IKKA","Chuk","1","-0.052","0.504","-0.103","0.918","0.953"
"Q8BK63","CK1A","Csnk1a1","2","0.022","0.317","0.071","0.944","0.966"
"O88351","IKKB","Ikbkb","2","-0.023","0.363","-0.063","0.950","0.966"
"Q9WVC6","SGK1","Sgk1","2","0.019","0.312","0.061","0.951","0.966"
"P08414","CAMK4","Camk4","1","0.014","0.268","0.051","0.959","0.967"
"Q8VEB1","GRK5","Grk5","1","-0.017","0.453","-0.037","0.971","0.971"
