"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q5U4C9","DYRK2","Dyrk2","6","-0.115","0.185","-0.624","0.532","0.690"
"Q6PHZ2","CAMK2D","Camk2d","2","-0.279","0.452","-0.617","0.537","0.690"
"Q8BYR2","LATS1","Lats1","1","0.3","0.521","0.575","0.565","0.719"
"P70336","ROCK2","Rock2","2","-0.096","0.174","-0.553","0.580","0.731"
"P00536","MOS","Mos","1","-0.107","0.196","-0.544","0.586","0.732"
"Q9WTU6","JNK2","Mapk9","6","-0.051","0.098","-0.518","0.605","0.747"
"Q60737","CK2A1","Csnk2a1","44","-0.059","0.117","-0.503","0.615","0.752"
"Q64261","CDK6","Cdk6","2","-0.072","0.159","-0.454","0.650","0.787"
"O55222","ILK","Ilk","3","-0.067","0.159","-0.42","0.674","0.800"
"P63318","PKCG","Prkcg","3","0.11","0.266","0.414","0.679","0.800"
"Q05512","MARK2","Mark2","1","0.413","1","0.413","0.679","0.800"
"Q60700","DLK","Map3k12","1","0.074","0.188","0.395","0.693","0.805"
"O55098","LOK","Stk10","1","0.096","0.246","0.39","0.697","0.805"
"Q91Y86","JNK1","Mapk8","8","-0.035","0.106","-0.333","0.739","0.847"
"Q3UMW7","MAPKAPK3","Mapkapk3","2","0.082","0.255","0.321","0.749","0.850"
"Q03147","CDK7","Cdk7","6","-0.056","0.186","-0.299","0.765","0.857"
"Q8C0P0","MASTL","Mastl","1","0.158","0.537","0.295","0.768","0.857"
"Q61214","DYRK1A","Dyrk1a","2","-0.076","0.318","-0.239","0.811","0.891"
"P00520","Abl","Abl1","1","-0.078","0.345","-0.227","0.820","0.891"
"P34152","FAK iso2","Ptk2","1","-0.078","0.345","-0.227","0.820","0.891"
"Q9Z0H0","CDC7","Cdc7","3","-0.046","0.22","-0.21","0.834","0.898"
"Q61846","MELK","Melk","1","-0.102","0.511","-0.199","0.842","0.899"
"Q80UE6","WNK4","Wnk4","2","-0.069","0.365","-0.189","0.850","0.900"
"Q9JMK2","CK1E","Csnk1e","1","0.057","0.347","0.164","0.870","0.900"
"P83741","WNK1","Wnk1","1","-0.058","0.356","-0.163","0.870","0.900"
"Q8BK63","CK1A","Csnk1a1","2","-0.051","0.317","-0.162","0.872","0.900"
"Q8BTW9","PAK4","Pak4","3","-0.018","0.272","-0.065","0.948","0.972"
"Q9QZR5","HIPK2","Hipk2","1","0.005","0.159","0.03","0.976","0.984"
"Q9Z188","DYRK1B","Dyrk1b","1","0.005","0.159","0.03","0.976","0.984"
"Q91VJ4","NDR1","Stk38","2","0.002","0.372","0.004","0.996","0.996"
