"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P05132","PKACA","Prkaca","50","0.059","0.082","0.724","0.469","0.705"
"Q62074","PKCI","Prkci","2","0.191","0.266","0.719","0.472","0.705"
"Q5U4C9","DYRK2","Dyrk2","4","0.173","0.245","0.705","0.481","0.705"
"Q62388","ATM","Atm","2","-0.426","0.606","-0.703","0.482","0.705"
"Q60670","SIK","Sik1","2","0.279","0.397","0.701","0.483","0.705"
"P67871","CK2B","Csnk2b","2","0.171","0.247","0.693","0.488","0.705"
"Q61214","DYRK1A","Dyrk1a","4","-0.179","0.269","-0.667","0.505","0.720"
"Q6PHZ2","CAMK2D","Camk2d","1","0.225","0.346","0.651","0.515","0.727"
"O88643","PAK1","Pak1","10","0.069","0.109","0.635","0.525","0.733"
"Q9Z0H0","CDC7","Cdc7","4","-0.127","0.206","-0.619","0.536","0.738"
"Q61846","MELK","Melk","2","-0.225","0.368","-0.613","0.540","0.738"
"Q64261","CDK6","Cdk6","4","0.07","0.117","0.6","0.549","0.741"
"P0C605","PKG1 iso2","Prkg1","1","-0.29","0.523","-0.555","0.579","0.760"
"Q61410","PKG2","Prkg2","1","-0.29","0.523","-0.555","0.579","0.760"
"Q9WVC6","SGK1","Sgk1","4","0.13","0.235","0.553","0.580","0.760"
"P70268","PKN1","Pkn1","4","0.069","0.129","0.531","0.595","0.761"
"P97377","CDK2","Cdk2","26","-0.053","0.101","-0.525","0.599","0.761"
"Q9JKK8","ATR","Atr","2","-0.238","0.459","-0.519","0.604","0.761"
"Q9QZR5","HIPK2","Hipk2","4","0.101","0.195","0.517","0.605","0.761"
"Q9JMK2","CK1E","Csnk1e","1","0.167","0.346","0.482","0.630","0.785"
"Q99KH8","MST3","Stk24","1","0.186","0.517","0.359","0.719","0.887"
"P16054","PKCE","Prkce","9","0.048","0.141","0.34","0.734","0.888"
"P97477","AurA","Aurka","1","0.084","0.259","0.326","0.744","0.888"
"O70405","ULK1","Ulk1","1","0.323","1","0.323","0.747","0.888"
"O88351","IKKB","Ikbkb","1","0.163","0.507","0.321","0.748","0.888"
"Q99MK8","GRK2","Adrbk1","3","-0.121","0.479","-0.252","0.801","0.934"
"Q8VHJ5","MARK1","Mark1","3","0.086","0.341","0.251","0.802","0.934"
"Q9Z188","DYRK1B","Dyrk1b","1","0.038","0.156","0.24","0.810","0.934"
"P11440","CDK1","Cdk1","44","-0.019","0.087","-0.213","0.831","0.934"
"Q02956","PKCZ","Prkcz","5","-0.023","0.113","-0.204","0.838","0.934"
"Q02111","PKCT","Prkcq","4","0.034","0.166","0.202","0.840","0.934"
"Q8BYR2","LATS1","Lats1","1","0.104","0.52","0.2","0.841","0.934"
"P47810","Wee1","Wee1","1","-0.037","0.212","-0.175","0.861","0.934"
"P70424","HER2","Erbb2","1","-0.037","0.212","-0.175","0.861","0.934"
"Q66JT0","WEE1B","Wee2","1","-0.037","0.212","-0.175","0.861","0.934"
"Q8BTW9","PAK4","Pak4","3","0.04","0.271","0.147","0.883","0.950"
"Q6ZQ29","TAO2","Taok2","1","0.074","0.552","0.135","0.893","0.953"
"P68404","PKCB iso2","Prkcb","9","-0.013","0.108","-0.12","0.904","0.957"
"O54784","DAPK3","Dapk3","3","0.022","0.203","0.109","0.913","0.958"
"Q91VJ4","NDR1","Stk38","2","0.036","0.371","0.096","0.924","0.962"
"Q61083","MEKK2","Map3k2","1","-0.018","0.25","-0.074","0.941","0.972"
"Q8C0P0","MASTL","Mastl","1","0.026","0.537","0.048","0.962","0.982"
"Q8BK63","CK1A","Csnk1a1","2","-0.013","0.316","-0.042","0.967","0.982"
"Q05512","MARK2","Mark2","1","0.018","1","0.018","0.986","0.993"
"P83741","WNK1","Wnk1","1","0.003","0.561","0.005","0.996","0.996"
