"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P97477","AurA","Aurka","1","0.241","0.259","0.932","0.352","0.486"
"Q6PHZ2","CAMK2D","Camk2d","1","0.29","0.346","0.838","0.402","0.550"
"P34152","FAK iso2","Ptk2","3","0.143","0.179","0.8","0.424","0.574"
"Q5U4C9","DYRK2","Dyrk2","4","0.194","0.245","0.791","0.429","0.575"
"Q9WVC6","SGK1","Sgk1","4","0.151","0.235","0.642","0.521","0.691"
"Q61410","PKG2","Prkg2","1","-0.324","0.522","-0.62","0.535","0.702"
"O88351","IKKB","Ikbkb","1","0.311","0.507","0.613","0.540","0.702"
"Q07832","PLK1","Plk1","6","0.112","0.192","0.587","0.557","0.717"
"Q03147","CDK7","Cdk7","7","0.099","0.182","0.544","0.586","0.747"
"P30285","CDK4","Cdk4","5","-0.109","0.207","-0.528","0.597","0.747"
"Q8CFH6","QIK","Sik2","1","0.28","0.532","0.527","0.598","0.747"
"Q99MK8","GRK2","Adrbk1","3","-0.219","0.479","-0.457","0.648","0.790"
"Q8VEB1","GRK5","Grk5","1","0.206","0.453","0.455","0.649","0.790"
"P0C605","PKG1 iso2","Prkg1","2","-0.147","0.324","-0.453","0.650","0.790"
"O54784","DAPK3","Dapk3","3","0.084","0.203","0.414","0.679","0.817"
"Q6ZQ29","TAO2","Taok2","1","-0.217","0.552","-0.392","0.695","0.826"
"P08414","CAMK4","Camk4","1","-0.103","0.267","-0.387","0.699","0.826"
"P83741","WNK1","Wnk1","1","0.199","0.561","0.354","0.723","0.847"
"P52332","JAK1","Jak1","1","0.174","0.531","0.328","0.743","0.847"
"Q62120","JAK2","Jak2","1","0.174","0.531","0.328","0.743","0.847"
"Q9R117","Tyk2","Tyk2","1","0.174","0.531","0.328","0.743","0.847"
"Q60670","SIK","Sik1","2","0.127","0.397","0.319","0.750","0.848"
"Q8BYR2","LATS1","Lats1","1","0.159","0.52","0.306","0.760","0.851"
"Q99KH8","MST3","Stk24","1","0.139","0.517","0.268","0.789","0.876"
"Q9Z1W9","STLK3","Stk39","2","0.095","0.38","0.251","0.802","0.884"
"Q8BTW9","PAK4","Pak4","3","0.062","0.271","0.23","0.818","0.893"
"Q9Z0H0","CDC7","Cdc7","5","-0.043","0.199","-0.216","0.829","0.898"
"Q61846","MELK","Melk","2","-0.056","0.368","-0.153","0.878","0.936"
"Q60680","IKKA","Chuk","2","-0.079","0.517","-0.152","0.879","0.936"
"Q05512","MARK2","Mark2","1","-0.13","1","-0.13","0.897","0.936"
"Q61214","DYRK1A","Dyrk1a","3","-0.038","0.301","-0.127","0.899","0.936"
"Q8C0P0","MASTL","Mastl","1","0.068","0.537","0.126","0.900","0.936"
"Q9JMK2","CK1E","Csnk1e","1","-0.03","0.346","-0.087","0.931","0.960"
"O70405","ULK1","Ulk1","1","-0.076","1","-0.076","0.940","0.962"
"Q923J1","ChaK1","Trpm7","1","0.025","0.553","0.045","0.964","0.979"
"Q91VJ4","NDR1","Stk38","2","-0.01","0.371","-0.026","0.979","0.987"
"Q61083","MEKK2","Map3k2","1","0.002","0.249","0.009","0.993","0.993"
