"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q9Z0H0","CDC7","Cdc7","4","-0.15","0.202","-0.742","0.458","0.790"
"Q99MK8","GRK2","Adrbk1","3","0.346","0.479","0.723","0.470","0.790"
"Q61846","MELK","Melk","2","-0.265","0.368","-0.721","0.471","0.790"
"P70335","ROCK1","Rock1","6","0.1","0.139","0.718","0.473","0.790"
"Q60737","CK2A1","Csnk2a1","52","0.077","0.11","0.701","0.483","0.797"
"Q9WUN2","TBK1","Tbk1","2","0.179","0.264","0.679","0.497","0.801"
"P20444","PKCA","Prkca","23","0.079","0.119","0.667","0.505","0.801"
"Q61214","DYRK1A","Dyrk1a","4","-0.179","0.269","-0.666","0.506","0.801"
"P67871","CK2B","Csnk2b","2","0.163","0.247","0.658","0.511","0.801"
"Q91VJ4","NDR1","Stk38","2","0.24","0.371","0.647","0.517","0.801"
"O08605","Mnk1","Mknk1","1","0.218","0.349","0.625","0.532","0.804"
"O54992","MAPKAPK5","Mapkapk5","1","0.218","0.349","0.625","0.532","0.804"
"Q61083","MEKK2","Map3k2","1","-0.154","0.25","-0.616","0.538","0.804"
"P70336","ROCK2","Rock2","2","0.105","0.172","0.606","0.544","0.804"
"P68404","PKCB iso2","Prkcb","9","-0.062","0.108","-0.574","0.566","0.820"
"P28867","PKCD","Prkcd","16","0.047","0.083","0.57","0.568","0.820"
"Q9QZR5","HIPK2","Hipk2","4","0.105","0.195","0.539","0.590","0.842"
"P83741","WNK1","Wnk1","1","-0.295","0.561","-0.526","0.599","0.845"
"P0C605","PKG1 iso2","Prkg1","1","-0.26","0.523","-0.497","0.619","0.850"
"Q61410","PKG2","Prkg2","1","-0.26","0.523","-0.497","0.619","0.850"
"O88351","IKKB","Ikbkb","1","-0.242","0.507","-0.477","0.633","0.850"
"Q2NL51","GSK3A","Gsk3a","7","0.082","0.175","0.468","0.640","0.850"
"Q9Z188","DYRK1B","Dyrk1b","1","0.073","0.156","0.466","0.641","0.850"
"Q62074","PKCI","Prkci","2","0.124","0.267","0.464","0.642","0.850"
"Q03147","CDK7","Cdk7","7","-0.082","0.182","-0.45","0.653","0.854"
"P11440","CDK1","Cdk1","45","0.038","0.086","0.439","0.660","0.856"
"Q9WTU6","JNK2","Mapk9","8","0.039","0.091","0.423","0.672","0.857"
"Q8VHJ5","MARK1","Mark1","3","0.14","0.341","0.412","0.681","0.857"
"P16054","PKCE","Prkce","9","-0.056","0.142","-0.394","0.694","0.857"
"O55098","LOK","Stk10","1","0.096","0.245","0.392","0.695","0.857"
"Q99KH8","MST3","Stk24","1","0.198","0.517","0.383","0.702","0.857"
