"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q8VEB1","GRK5","Grk5","1","0.056","0.453","0.123","0.902","0.969"
"O54784","DAPK3","Dapk3","3","-0.025","0.203","-0.121","0.903","0.969"
"Q61831","JNK3","Mapk10","4","0.014","0.115","0.121","0.903","0.969"
"Q8C0P0","MASTL","Mastl","1","-0.057","0.537","-0.106","0.916","0.969"
"Q8BYR2","LATS1","Lats1","1","-0.054","0.52","-0.104","0.917","0.969"
"P70336","ROCK2","Rock2","2","0.014","0.173","0.08","0.936","0.970"
"P97477","AurA","Aurka","1","-0.021","0.259","-0.08","0.937","0.970"
"Q99KH8","MST3","Stk24","1","0.038","0.517","0.074","0.941","0.970"
"Q02111","PKCT","Prkcq","2","-0.011","0.167","-0.066","0.948","0.970"
"Q61214","DYRK1A","Dyrk1a","3","0.014","0.301","0.048","0.962","0.977"
"P70335","ROCK1","Rock1","6","0.003","0.139","0.024","0.981","0.984"
"P16054","PKCE","Prkce","8","0.003","0.156","0.019","0.984","0.984"
